building_id,building_name,location,climate_zone,building_typology,gross_floor_area_m2,n_floors,baseline_annual_kwh,post_annual_kwh,baseline_eui_kwh_per_m2,post_eui_kwh_per_m2,energy_savings_kwh,energy_savings_pct,avoided_peak_demand_kw,baseline_co2_tons_yr,post_co2_tons_yr,avoided_co2_tons_yr,baseline_opcost_inr_yr,post_opcost_inr_yr,annual_cost_savings_inr,project_capex_inr,simple_payback_years,baseline_hvac_type,retrofit_measures_implemented,retrofit_smart_controls,retrofit_ahu_vfd,retrofit_dcv,retrofit_chiller_opt,retrofit_zoning_opt,comfort_impact_score,feasibility_score,maintenance_reduction_score,urgency_score
IN-EESL-001,NITI Aayog Bhawan,New Delhi,Composite,Government / Commercial Office,18500,6,3800000,2660000,205.41,143.78,1140000,30.0,220,3116.0,2181.2,934.8,34200000.0,23940000.0,10200000,31500000,3.09,Water-cooled Screw Chillers (0.92 kW/TR) + CAV AHUs,Chiller_Optimization;Smart_Controls;AHU_VFD,1,1,0,1,1,4.5,4.2,4.0,4.8
IN-EESL-002,Shram Shakti Bhawan,New Delhi,Composite,Government / Commercial Office,14200,5,1840000,1196000,129.58,84.23,644000,35.0,185,1508.8,980.7,528.1,16560000.0,10764000.0,5796000,16200000,2.8,Constant-speed Reciprocating Chillers (1.10 kW/TR) + Constant Flow Pumps,Chiller_Optimization;AHU_VFD;Smart_Controls,1,1,0,1,0,4.2,4.5,4.4,4.5
IN-EESL-003,Nirman Bhawan (MoHUA),New Delhi,Composite,Government / Administrative,26000,7,3650000,2445500,140.38,94.06,1204500,33.0,340,2993.0,2005.3,987.7,32850000.0,22009500.0,10840500,34600000,3.19,Old Centrifugal Chillers (0.98 kW/TR) + Primary-Secondary Constant Flow,Chiller_Optimization;AHU_VFD;Smart_Controls;Zoning_Optimization,1,1,0,1,1,4.3,4.0,4.2,4.6
IN-EESL-004,SCOPE Complex (Core 3 & 4),New Delhi,Composite,Multi-Tenant Commercial Office,45000,8,8900000,6052000,197.78,134.49,2848000,32.0,560,7298.0,4962.6,2335.4,80100000.0,54468000.0,25632000,69200000,2.7,Water-cooled Screw Chillers + CAV Air Distribution,Smart_Controls;AHU_VFD;DCV;Chiller_Optimization,1,1,1,1,1,4.8,4.4,4.1,4.3
IN-EESL-005,AIIMS New Delhi (Main Clinical Ward),New Delhi,Composite,24/7 Healthcare / Hospital,62000,9,14200000,10082000,229.03,162.61,4118000,29.0,820,11644.0,8267.2,3376.8,127800000.0,90738000.0,37062000,107500000,2.9,Constant Speed Screw Chillers (1.05 kW/TR) + 100% Dedicated Outdoor Air,Chiller_Optimization;AHU_VFD;Smart_Controls,1,1,0,1,0,4.6,3.8,4.5,4.9
IN-EESL-006,Sardar Patel Bhawan (CSO),New Delhi,Composite,Government / Commercial Office,11500,5,980000,705600,85.22,61.36,274400,28.0,92,803.6,578.6,225.0,8820000.0,6350400.0,2469600,8400000,3.4,Mixed Window/Split Units + Constant Volume Central Ducting,Smart_Controls;Zoning_Optimization,1,0,0,0,1,4.0,4.8,3.9,4.1
IN-EESL-007,Baroda House (Northern Railway HQ),New Delhi,Composite,Heritage Institutional Office,22000,4,2950000,1976500,134.09,89.84,973500,33.0,260,2419.0,1620.7,798.3,26550000.0,17788500.0,8761500,27150000,3.1,Reciprocating Chillers + Fixed Speed Air Handling Units,Chiller_Optimization;AHU_VFD;Smart_Controls,1,1,0,1,0,4.2,4.1,4.3,4.4
IN-EESL-008,Rail Bhawan (Ministry of Railways),New Delhi,Composite,Institutional Office,19800,6,2650000,1802000,133.84,91.01,848000,32.0,210,2173.0,1477.6,695.4,23850000.0,16218000.0,7632000,23600000,3.09,Chilled Water System (0.95 kW/TR) + Manual Fan Coil Controls,Smart_Controls;AHU_VFD;Chiller_Optimization,1,1,0,1,0,4.1,4.4,4.0,4.2
IN-EESL-009,Western Railway HQ (Churchgate),Mumbai,Warm & Humid,Institutional / Commercial Office,24500,7,3400000,2244000,138.78,91.59,1156000,34.0,310,2788.0,1840.1,947.9,30600000.0,20196000.0,10404000,31200000,3.0,Water-cooled Chillers without VFD + Heavy Latent Cooling Load,Chiller_Optimization;AHU_VFD;Smart_Controls;DCV,1,1,1,1,1,4.7,4.3,4.2,4.6
IN-EESL-010,Southern Railway Headquarters (NGO Complex),Chennai,Warm & Humid,Institutional / Commercial Office,28000,8,3900000,2535000,139.29,90.54,1365000,35.0,380,3198.0,2078.7,1119.3,35100000.0,22815000.0,12285000,38200000,3.11,Air-cooled Chillers (1.25 kW/TR) + CAV AHUs,Chiller_Optimization;AHU_VFD;Smart_Controls,1,1,0,1,0,4.4,4.2,4.3,4.7
